run,camera,previous_frame,frame,tracker_gap_ms,pts_gap_ms,previous_emit_ms,other_camera_tracker_frames,other_cameras
controlled,06e9e5b9,1567,1568,290.932714,39.99083,1.742968,28,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 2}"
controlled,e0606b55,1614,1615,265.159586,39.99974,0.744065,30,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 3, ""06e9e5b9"": 7}"
controlled,06e9e5b9,1615,1616,273.918575,39.99046,2.588185,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 1}"
controlled,d1f37ed1,1623,1624,267.207919,39.99187,0.746444,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 1}"
controlled,e0606b55,1662,1663,270.664314,39.998201,0.959397,30,"{""c7e22c1f"": 8, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 3, ""06e9e5b9"": 7}"
controlled,d1f37ed1,1671,1672,274.295747,39.998756,0.883169,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 0}"
controlled,06e9e5b9,1663,1664,284.769435,40.011264,1.526404,26,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 2}"
controlled,e0606b55,1710,1711,276.990568,39.994524,1.062839,33,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,06e9e5b9,1711,1712,289.422923,39.992881,2.131409,24,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""d1f37ed1"": 0}"
controlled,d1f37ed1,1719,1720,297.386028,39.999007,2.156762,27,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 2, ""06e9e5b9"": 2}"
controlled,e0606b55,1758,1759,275.330216,40.000884,1.210801,33,"{""c7e22c1f"": 7, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 7, ""06e9e5b9"": 7}"
controlled,06e9e5b9,1759,1760,277.161681,40.004968,2.136797,26,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 0}"
controlled,d1f37ed1,1767,1768,282.698858,39.997402,1.185036,28,"{""c7e22c1f"": 8, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""06e9e5b9"": 2}"
controlled,e0606b55,1803,1804,279.629479,40.000836,0.871172,27,"{""c7e22c1f"": 6, ""b1269e28"": 5, ""1ac2ffac"": 7, ""d1f37ed1"": 3, ""06e9e5b9"": 6}"
controlled,d1f37ed1,1811,1812,286.901611,40.001371,1.773268,25,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""06e9e5b9"": 0}"
controlled,06e9e5b9,1806,1807,289.919109,40.000286,1.094723,27,"{""c7e22c1f"": 7, ""b1269e28"": 7, ""1ac2ffac"": 8, ""e0606b55"": 3, ""d1f37ed1"": 2}"
