camera,epoch_ms,interval_ms,framesDecoded,framesDropped,freezeCount,totalFreezesDuration,packetsLost,jitterBufferDelay,jitterBufferEmittedCount,decoded_fps,jitter_buffer_ms
c7e22c1f,1790072109765,1010.7119140625,25,0,0,0,0,0.5001010000000008,25,24.73504037318992,20.004040000000032
b5e8f409,1790072109765,1010.677001953125,20,0,0,0.0,0,0.8662979999999934,20,19.788715842301908,43.31489999999967
b1269e28,1790072110781,1015.97607421875,20,0,0,0,0,1.7219619999999978,20,19.685502943934285,86.09809999999989
1ac2ffac,1790072110781,1016.1640625,26,0,0,0,0,0.47433899999999696,26,25.586419515795463,18.243807692307577
d1f37ed1,1790072110781,1016.218994140625,26,0,0,0,0,0.5656220000000012,26,25.585036443829846,21.754692307692356
06e9e5b9,1790072110781,1016.24609375,26,0,0,0,0,0.5521729999999998,26,25.584354183403228,21.23742307692307
e0606b55,1790072110781,1016.269775390625,26,0,0,0,0,0.5767929999999986,26,25.58375800363279,22.184346153846096
c7e22c1f,1790072110781,1016.297119140625,26,0,0,0,0,0.5252550000000014,26,25.583069665675577,20.202115384615436
b5e8f409,1790072110781,1016.321044921875,21,0,1,0.20399999999999996,0,0.8136810000000025,21,20.662762131049128,38.746714285714404
b1269e28,1790072111795,1014.052978515625,20,0,0,0,0,1.8329650000000015,20,19.72283541760913,91.64825000000008
1ac2ffac,1790072111795,1013.850830078125,24,0,0,0,0,0.4365400000000008,24,23.672121467958572,18.1891666666667
d1f37ed1,1790072111795,1013.76611328125,25,0,0,0,0,0.545023999999998,25,24.660520481477395,21.800959999999918
06e9e5b9,1790072111795,1013.73193359375,25,0,0,0,0,0.5371009999999998,25,24.66135195265406,21.484039999999997
e0606b55,1790072111795,1013.72607421875,25,0,0,0,0,0.5676349999999992,25,24.661494496199865,22.70539999999997
c7e22c1f,1790072111795,1013.722900390625,25,0,0,0,0,0.5010419999999982,25,24.661571707975202,20.04167999999993
b5e8f409,1790072111795,1013.708984375,20,0,0,0.0,0,0.8099139999999991,20,19.7295282060965,40.49569999999996
b1269e28,1790072112813,1018.4140625,21,0,0,0,0,1.75629,21,20.62029657018802,83.63285714285715
1ac2ffac,1790072112813,1018.463134765625,27,0,0,0,0,0.5915479999999995,27,26.510532466365024,21.90918518518517
d1f37ed1,1790072112813,1018.475830078125,26,0,0,0,0,0.5318010000000015,26,25.528342678495964,20.453884615384673
06e9e5b9,1790072112813,1018.461181640625,25,0,0,0,0,0.5429700000000004,25,24.546836394616285,21.718800000000016
e0606b55,1790072112813,1018.426025390625,25,0,0,0,0,0.5476920000000014,25,24.54768375583397,21.907680000000056
c7e22c1f,1790072112813,1018.388916015625,26,0,0,0,0,0.5147350000000017,26,25.530521386390546,19.797500000000067
b5e8f409,1790072112813,1018.39990234375,20,0,0,0.0,0,0.7883700000000005,20,19.638650744144723,39.41850000000002
b1269e28,1790072113827,1013.23486328125,19,0,0,0,0,1.6264759999999967,19,18.75182219694907,85.60399999999983
1ac2ffac,1790072113827,1013.221923828125,23,0,0,0,0,0.5461869999999998,23,22.699864125622234,23.747260869565206
d1f37ed1,1790072113827,1013.22216796875,25,0,0,0,0,0.5320460000000011,25,24.673759408677935,21.28184000000005
06e9e5b9,1790072113827,1013.2119140625,26,0,0,0,0,0.5630859999999984,26,25.660969476515838,21.657153846153786
e0606b55,1790072113827,1013.22607421875,26,0,0,0,0,0.598866000000001,26,25.660610856315905,23.03330769230773
c7e22c1f,1790072113827,1013.233154296875,25,0,0,0,0,0.5028159999999993,25,24.673491874975753,20.11263999999997
b5e8f409,1790072113827,1013.18408203125,21,0,0,0.0,0,0.8612850000000023,21,20.726736999162892,41.01357142857154
b1269e28,1790072114840,1012.427978515625,22,0,0,0,0,1.6945630000000023,22,21.729940763050998,77.02559090909102
1ac2ffac,1790072114840,1012.51611328125,28,0,0,0,0,0.6100700000000003,28,27.653880894063704,21.7882142857143
d1f37ed1,1790072114840,1012.593017578125,25,0,0,0,0,0.5159099999999981,25,24.689089857437384,20.63639999999992
06e9e5b9,1790072114840,1012.658935546875,25,0,0,0,0,0.5272180000000013,25,24.687482747089998,21.088720000000052
e0606b55,1790072114840,1012.721923828125,25,0,0,0,0,0.5807179999999974,25,24.685947259341546,23.228719999999893
c7e22c1f,1790072114840,1012.77587890625,25,0,0,0,0,0.47188799999999986,25,24.684632129073627,18.875519999999995
b5e8f409,1790072114840,1012.93701171875,20,0,0,0.0,0,0.8358190000000008,20,19.744564339754977,41.79095000000004
