camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
b1269e28,25,1790072085118,637722131945703,8,3,107.3,21,0.792645,3.009218,7.541195,3.739332,69.816107
d1f37ed1,27,1790072085119,637722132095283,1,0,9.1,20.6,0.142261,3.01201,5.323328,2.169057,38.712333
06e9e5b9,27,1790072085122,637722135982642,7,0,233.9,71.4,0.065247,5.744021,6.769293,0.960025,37.956194
e0606b55,29,1790072085123,637722136057180,2,1,31.9,11.7,0.21319,1.805019,2.978081,0.959872,42.588857
e0606b55,30,1790072085154,637722167509527,2,1,31.9,11.7,0.250598,3.226379,5.313132,1.836155,31.452347
1ac2ffac,33,1790072085154,637722167612332,1,0,161.1,31.7,0.096193,2.366634,4.10136,1.638533,44.109512
06e9e5b9,28,1790072085154,637722167651607,7,0,233.9,71.4,0.119683,1.132131,2.880402,1.628588,31.668965
c7e22c1f,40,1790072085160,637722173830149,3,1,19.6,11.9,0.1658,4.795247,7.304306,2.343259,43.242796
b1269e28,26,1790072085162,637722175180866,8,3,107.3,21,0.531503,3.108092,7.115997,3.476402,43.235163
d1f37ed1,28,1790072085162,637722175335422,1,0,28.4,20,0.072821,1.722846,3.947016,2.151349,43.240139
1ac2ffac,34,1790072085201,637722214542923,1,0,26.8,32.7,0.099644,2.195967,3.079365,0.783754,46.930591
d1f37ed1,29,1790072085201,637722214657071,1,0,9.6,9.3,0.069878,1.298947,2.185302,0.816477,39.321649
c7e22c1f,41,1790072085207,637722220794593,3,1,19.6,11.9,0.228953,4.853957,6.929861,1.846951,46.964444
e0606b55,31,1790072085207,637722220959921,2,1,31.9,11.7,0.179436,2.825485,4.759421,1.7545,53.450394
06e9e5b9,29,1790072085214,637722227959530,4,2,81.2,13.2,0.201717,4.128011,7.853119,3.523391,60.307923
b1269e28,27,1790072085215,637722228942611,8,3,107.3,21,0.412287,2.226381,5.928544,3.289876,53.761745
1ac2ffac,35,1790072085235,637722248121576,1,0,26.8,32.7,0.120439,4.373448,5.143033,0.649146,33.578653
d1f37ed1,30,1790072085240,637722253919414,1,0,9.6,9.3,0.154432,4.718444,6.150779,1.277903,39.262343
e0606b55,32,1790072085240,637722254026231,2,1,42.5,57.4,0.251691,1.109685,2.660773,1.299397,33.06631
c7e22c1f,42,1790072085248,637722261520805,3,1,19.6,11.9,0.207402,4.785059,8.522191,3.52973,40.726212
06e9e5b9,30,1790072085248,637722261656566,4,2,81.2,13.2,0.168095,3.750386,7.339773,3.421292,33.697036
b1269e28,28,1790072085249,637722262522105,8,3,107.3,21,0.632765,2.348006,6.50916,3.528389,33.579494
d1f37ed1,31,1790072085285,637722298772488,1,0,9.6,9.3,0.114088,3.07464,6.012992,2.824264,44.853074
e0606b55,33,1790072085285,637722298905880,2,1,42.5,57.4,0.259464,2.023122,5.089626,2.80704,44.879649
1ac2ffac,36,1790072085285,637722298979870,2,0,31.8,21.4,0.123544,1.700759,4.37956,2.555257,50.858294
c7e22c1f,43,1790072085286,637722299062895,3,1,19.6,11.9,0.248841,0.572295,3.401136,2.58,37.54209
06e9e5b9,31,1790072085291,637722304319036,4,2,81.2,13.2,0.245654,3.971979,6.697091,2.479458,42.66247
1ac2ffac,37,1790072085306,637722319302238,2,0,31.8,21.4,0.154438,2.26344,3.075907,0.658029,20.322368
06e9e5b9,32,1790072085313,637722326904552,4,2,81.2,13.2,0.213114,2.099079,5.330019,3.017826,22.585516
e0606b55,34,1790072085314,637722327237968,2,1,42.5,57.4,0.336471,1.542031,4.213779,2.335277,28.332088
