kind,camera,camera_name,tracker_objects,targets,decoder_objects,metric,n,mean_ms,p50_ms,p95_ms,p99_ms,max_ms
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,2,identity_verify_cuda_ms,14,1.6803,1.5844,3.4228,3.4228,3.4228
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,2,queue_wait_ms,14,17.2524,17.3071,30.3307,30.3307,30.3307
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,2,segment_wall_ms,14,39.3296,41.1647,45.768,45.768,45.768
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,2,t0_t1_ms,14,18.3102,17.655,30.9115,30.9115,30.9115
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,2,t1_t2_last_ms,14,35.286,37.3802,42.0266,42.0266,42.0266
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,2,2,tracker_to_rgba_ms,14,0.4792,0.2545,2.055,2.055,2.055
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,,,copy_wall_ms,402,0.5638,0.3651,1.5611,3.2858,5.3197
frame,1ac2ffac,Cam Dahua Ch2 Fixed,1,,,tracker_to_rgba_ms,547,0.3599,0.2466,1.0726,1.5176,5.4042
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,0,copy_wall_ms,1,0.9219,0.9219,0.9219,0.9219,0.9219
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,0,encoder_cuda_ms,1,8.0839,8.0839,8.0839,8.0839,8.0839
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,0,queue_wait_ms,1,96.211,96.211,96.211,96.211,96.211
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,0,segment_wall_ms,1,5.4851,5.4851,5.4851,5.4851,5.4851
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,0,t0_t1_ms,1,97.4846,97.4846,97.4846,97.4846,97.4846
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,0,tracker_to_rgba_ms,1,0.2492,0.2492,0.2492,0.2492,0.2492
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,1,copy_wall_ms,2,0.4003,0.2242,0.5763,0.5763,0.5763
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,1,decoder_cuda_ms,2,11.497,9.5802,13.4138,13.4138,13.4138
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,1,encoder_cuda_ms,2,7.4032,6.9887,7.8178,7.8178,7.8178
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,1,identity_verify_cuda_ms,2,1.537,0.877,2.1969,2.1969,2.1969
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,1,queue_wait_ms,2,45.365,3.1869,87.5431,87.5431,87.5431
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,1,segment_wall_ms,2,22.608,20.9363,24.2797,24.2797,24.2797
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,1,t0_t1_ms,2,46.0085,4.049,87.9679,87.9679,87.9679
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,1,t1_t2_last_ms,2,19.3951,17.8219,20.9682,20.9682,20.9682
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,1,1,tracker_to_rgba_ms,2,0.1484,0.1254,0.1714,0.1714,0.1714
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,0,copy_wall_ms,2,0.3775,0.2798,0.4752,0.4752,0.4752
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,0,encoder_cuda_ms,2,6.9802,6.1508,7.8096,7.8096,7.8096
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,0,queue_wait_ms,2,26.7931,24.9676,28.6187,28.6187,28.6187
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,0,segment_wall_ms,2,5.0976,4.177,6.0182,6.0182,6.0182
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,0,t0_t1_ms,2,27.9694,25.9764,29.9623,29.9623,29.9623
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,0,tracker_to_rgba_ms,2,0.6189,0.3303,0.9076,0.9076,0.9076
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,1,copy_wall_ms,6,0.3504,0.2666,0.7598,0.7598,0.7598
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,1,decoder_cuda_ms,6,8.6522,7.4073,14.1034,14.1034,14.1034
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,1,encoder_cuda_ms,6,8.4899,7.6059,13.3148,13.3148,13.3148
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,1,identity_verify_cuda_ms,6,0.9381,0.8148,1.74,1.74,1.74
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,1,queue_wait_ms,6,20.9251,17.8787,43.5639,43.5639,43.5639
frame,1ac2ffac,Cam Dahua Ch2 Fixed,2,2,1,segment_wall_ms,6,21.2716,17.932,30.2702,30.2702,30.2702
