camera,frame,epoch_ms,receipt_ns,targets,masks,inference_ms,queue_wait_ms,ipc_out_ms,parent_queue_ms,emit_client_ms,publish_client_ms,packet_gap_ms
06e9e5b9,15,1790073014640,638651653450811,6,3,250.8,25.1,0.258555,4.690474,8.223768,3.274739,35.606236
b1269e28,17,1790073014658,638651671649500,8,4,102.8,23.9,0.471609,3.851748,8.760585,4.437228,44.350977
1ac2ffac,21,1790073014667,638651680623772,1,0,42.5,96.6,0.09661,2.539338,3.403136,0.767188,45.21285
e0606b55,43,1790073014673,638651686372833,1,0,18.7,19,0.104329,0.684874,2.14782,1.358617,40.137429
c7e22c1f,44,1790073014673,638651686545788,3,1,79.5,48.2,0.159699,0.11091,1.723356,1.452747,59.02683
06e9e5b9,16,1790073014679,638651692938375,6,3,105,32.7,0.329574,1.488131,4.398636,2.580931,39.487564
d1f37ed1,16,1790073014684,638651697846844,1,0,24.5,14,0.10367,2.412719,3.548976,1.032587,51.745997
1ac2ffac,22,1790073014715,638651728249148,1,0,42.5,96.6,0.140964,1.21471,2.199218,0.843544,47.625376
d1f37ed1,17,1790073014723,638651736133563,1,0,12,50.7,0.093833,3.8601,7.429234,3.475301,38.286719
06e9e5b9,17,1790073014723,638651736627458,6,3,105,32.7,0.257314,2.542673,6.601775,3.801788,43.689083
e0606b55,44,1790073014723,638651736788466,1,0,5.1,13.3,0.067675,3.550629,5.764161,2.145857,50.415633
b1269e28,18,1790073014740,638651753605104,8,4,129.6,35.8,0.463216,2.919944,7.024801,3.641641,81.955604
1ac2ffac,23,1790073014744,638651757386323,1,0,42.5,96.6,0.173534,4.997634,5.850301,0.679133,29.137175
d1f37ed1,18,1790073014754,638651767981601,1,0,12,50.7,0.199025,0.854947,2.071269,1.017297,31.848038
06e9e5b9,18,1790073014761,638651774903478,6,3,105,32.7,0.252454,2.964998,5.861985,2.644533,38.27602
e0606b55,45,1790073014761,638651775034753,1,0,5.1,13.3,0.071197,2.888736,4.585384,1.625451,38.246287
b1269e28,19,1790073014779,638651792474866,8,4,129.6,35.8,0.509607,2.974583,7.290342,3.806152,38.869762
c7e22c1f,45,1790073014793,638651806943991,3,1,25.8,54.8,0.253406,4.082042,5.649119,1.313671,120.398203
1ac2ffac,24,1790073014794,638651807127077,1,0,42.5,96.6,0.062882,3.724788,5.013641,1.225971,49.740754
d1f37ed1,19,1790073014798,638651811590793,1,0,12,50.7,0.242173,3.637942,4.409546,0.529431,43.609192
06e9e5b9,19,1790073014807,638651820307014,6,3,76.6,18,0.249289,4.486604,8.80249,4.066597,45.403536
e0606b55,46,1790073014808,638651821255588,1,0,5.1,13.3,0.115429,4.989351,8.352004,3.247224,46.220835
b1269e28,20,1790073014808,638651821456379,8,4,89.7,40.1,0.357289,3.771819,7.460738,3.33163,28.981513
1ac2ffac,25,1790073014832,638651845655905,1,0,42.5,96.6,0.11639,1.528249,2.281311,0.636672,38.528828
06e9e5b9,20,1790073014839,638651852432976,6,3,76.6,18,0.242556,4.206649,6.713171,2.263966,32.125962
e0606b55,47,1790073014839,638651852619090,2,0,22.4,22.2,0.062494,4.695614,6.15957,1.401462,31.363502
d1f37ed1,20,1790073014839,638651852737167,1,0,12,50.7,0.060575,3.727314,5.2593,1.471411,41.146374
c7e22c1f,46,1790073014844,638651857842819,3,1,53.4,96.4,1.604555,4.861424,7.9213,1.455321,50.898828
b1269e28,21,1790073014857,638651870083339,8,4,89.7,40.1,0.590183,0.887275,4.696949,3.219491,48.62696
c7e22c1f,47,1790073014866,638651879998883,3,1,53.4,96.4,0.356153,2.281198,3.846656,1.209305,22.156064
1ac2ffac,26,1790073014876,638651890028909,1,0,42.5,96.6,0.115931,3.842988,4.729636,0.770717,44.373004
e0606b55,48,1790073014883,638651896695442,2,0,22.4,22.2,0.186861,2.343648,4.710706,2.180197,44.076352
d1f37ed1,21,1790073014883,638651896775877,1,0,26.1,27.7,0.053733,1.910763,4.153861,2.189365,44.03871
06e9e5b9,21,1790073014883,638651896843495,6,3,76.6,18,0.246763,0.915364,3.378737,2.21661,44.410519
c7e22c1f,48,1790073014909,638651922629959,3,1,53.4,96.4,0.373381,2.140308,4.099382,1.585693,42.631076
1ac2ffac,27,1790073014909,638651922836442,1,0,42.5,96.6,0.135221,1.571905,3.169238,1.462112,32.807533
e0606b55,49,1790073014914,638651927146717,2,0,22.4,22.2,0.167721,1.166447,1.99757,0.663402,30.451275
d1f37ed1,22,1790073014914,638651927407051,1,0,26.1,27.7,0.076169,0.178022,1.093332,0.839141,30.631174
06e9e5b9,22,1790073014921,638651934041192,6,3,76.6,18,0.194677,3.768968,6.314796,2.351151,37.197697
b1269e28,22,1790073014928,638651941575067,8,4,89.7,40.1,0.407467,1.844098,5.472812,3.221247,71.491728
c7e22c1f,49,1790073014948,638651961601571,3,1,53.4,96.4,0.304382,0.371876,2.016973,1.340715,38.971612
1ac2ffac,28,1790073014953,638651966345135,1,0,42.5,96.6,0.183038,2.169359,3.089064,0.736667,43.508693
e0606b55,50,1790073014959,638651972903490,2,0,22.4,22.2,0.110428,3.548454,5.800637,2.141755,45.756773
d1f37ed1,23,1790073014959,638651972988876,1,0,26.1,27.7,0.058204,2.422072,4.628977,2.148701,45.581825
06e9e5b9,23,1790073014960,638651973066216,6,3,78.4,15.3,0.25136,1.187971,3.623687,2.184356,39.025024
b1269e28,23,1790073014977,638651990803873,8,4,140.9,30.7,0.526206,2.548432,6.764641,3.690003,49.228806
1ac2ffac,29,1790073014986,638651999585276,1,0,42.5,96.6,0.11737,4.73573,5.405649,0.552549,33.240141
c7e22c1f,50,1790073014993,638652006770363,3,1,33.7,20.7,0.182487,4.39176,7.136518,2.562271,45.168792
06e9e5b9,24,1790073014993,638652006898215,6,3,78.4,15.3,0.224354,1.512146,4.217014,2.480514,33.831999
d1f37ed1,24,1790073014993,638652006984456,1,0,9.6,4.7,0.067725,1.921049,3.602111,1.613337,33.99558
e0606b55,51,1790073014997,638652010859203,2,0,22.4,22.2,0.741469,5.068812,6.150432,0.340151,37.955713
b1269e28,24,1790073015031,638652044197386,8,4,140.9,30.7,0.46741,3.326803,6.954272,3.160059,53.393513
c7e22c1f,51,1790073015037,638652050254239,3,1,33.7,20.7,0.346224,5.640468,8.393841,2.407149,43.483876
06e9e5b9,25,1790073015037,638652050791963,6,3,78.4,15.3,0.582327,3.685473,6.949163,2.681363,43.893748
1ac2ffac,30,1790073015037,638652050936544,1,0,36.2,19.7,0.137526,3.226735,4.949992,1.585731,51.351268
d1f37ed1,25,1790073015038,638652051167027,1,0,9.6,4.7,0.100304,2.108567,3.975914,1.767043,44.182571
e0606b55,52,1790073015043,638652056135310,4,2,67.6,31.3,0.366843,5.002392,6.972396,1.603161,45.276107
b1269e28,25,1790073015060,638652073396493,8,4,140.9,30.7,0.483063,3.452556,7.314352,3.378733,29.199107
1ac2ffac,31,1790073015064,638652077401569,1,0,36.2,19.7,0.118411,4.272716,4.89941,0.508283,26.465025
c7e22c1f,52,1790073015076,638652089252391,3,1,33.7,20.7,0.378171,4.032315,6.486303,2.075817,38.998152
d1f37ed1,26,1790073015076,638652089413766,1,0,9.6,4.7,0.138879,1.335931,3.261753,1.786943,38.246739
06e9e5b9,26,1790073015084,638652097055014,6,3,78.4,15.3,0.417268,4.637688,9.327076,4.27212,46.263051
e0606b55,53,1790073015084,638652097325341,4,2,67.6,31.3,0.375166,5.042857,7.942363,2.52434,41.190031
1ac2ffac,32,1790073015108,638652121490738,1,0,36.2,19.7,0.223436,1.998383,3.182518,0.960699,44.089169
c7e22c1f,53,1790073015119,638652132232762,3,1,33.7,20.7,0.328456,4.384691,6.101118,1.387971,42.980371
d1f37ed1,27,1790073015119,638652132896357,1,0,9.6,4.7,0.174147,3.275346,5.074832,1.625339,43.482591
e0606b55,54,1790073015120,638652133219921,4,2,67.6,31.3,0.345987,1.448897,3.608328,1.813444,35.89458
06e9e5b9,27,1790073015125,638652138450493,6,3,73.9,16.3,0.351783,5.664522,7.818973,1.802668,41.395479
